business_age,annual_revenue,monthly_cash_flow,existing_loan,repayment_history,gst_consistency,profit_margin,transaction_count,payment_defaults,loan_amount,debt_to_income,loan_default
13,4713962,243451,931298,55,89,19.39,563,8,1435307,0.2,1
6,4894668,231490,807734,54,63,13.66,231,1,683642,0.17,0
12,1484283,355182,1240712,95,83,20.31,545,0,464055,0.84,0
12,4018971,275161,217872,100,77,10.04,761,5,911744,0.05,0
20,1703061,358405,347284,90,57,24.19,151,5,207764,0.2,0
11,713066,201196,335500,89,65,8.47,171,3,1023598,0.47,0
7,4208146,257418,573570,78,80,26.93,115,7,1226570,0.14,1
1,2561331,231370,652739,84,56,10.33,522,4,1671871,0.25,0
1,1358343,199340,907779,67,52,34.94,541,6,400657,0.67,1
20,2731113,76320,708074,89,78,29.71,393,8,1104240,0.26,0
13,741529,245067,23814,97,85,15.32,894,0,1905282,0.03,0
9,2874415,222373,155161,79,88,17.79,35,8,1679436,0.05,0
3,4548530,303271,449047,64,53,12.78,698,3,1919682,0.1,0
7,2353548,347232,1130249,64,58,28.01,627,6,792428,0.48,1
6,1741019,190786,86796,65,66,16.42,37,3,502297,0.05,0
8,318920,304065,1085052,82,98,27.66,428,3,1104927,3.4,1
9,606547,276890,657129,59,69,5.55,26,3,1233448,1.08,1
5,1859090,340679,304422,68,63,9.07,715,5,783273,0.16,1
1,1857583,75350,1226642,86,95,15.95,913,4,1629408,0.66,0
19,263014,191417,760395,99,78,8.27,264,1,1451098,2.89,1
10,3909362,250678,126259,52,62,23.03,962,8,686477,0.03,1
12,1435382,353275,1452757,85,85,6.52,902,5,1698948,1.01,1
15,4732889,32063,838628,53,94,30.79,997,9,615541,0.18,1
9,3391849,127116,1409399,60,66,27.84,898,5,1471401,0.42,1
20,4082506,361057,1227933,90,96,11.49,613,8,561785,0.3,0
17,2619493,351090,917293,82,99,19.51,662,0,646706,0.35,0
17,556778,187043,1235147,77,92,18.55,148,6,798087,2.22,1
20,1497682,144670,543708,81,53,26.75,820,2,174860,0.36,0
12,3332293,20564,1204884,65,69,17.05,474,3,297809,0.36,1
7,1741037,252124,792650,58,60,5.99,605,0,1230744,0.46,0
2,4232371,237506,124283,60,91,13.21,895,2,1549795,0.03,0
3,2802352,321869,443108,55,71,18.99,590,6,257543,0.16,1
17,1731817,96134,729391,98,94,34.23,91,5,162468,0.42,0
5,2215074,115940,230461,76,57,31.43,179,0,1042309,0.1,0
17,4920058,72085,214202,61,77,10.44,106,8,1216787,0.04,1
17,4162931,27862,142298,71,94,26.7,420,3,175012,0.03,0
17,4740334,282409,647396,89,90,33.1,481,6,643547,0.14,0
2,2002502,150777,969775,97,79,5.26,548,3,271134,0.48,0
2,1662538,196351,796478,86,82,26.63,108,6,1984187,0.48,1
5,2226819,72471,246027,70,82,18.78,680,4,1061362,0.11,0
1,2274520,101080,903894,82,96,25.41,842,0,1869981,0.4,0
1,2632665,327972,37117,66,85,23.17,25,3,704387,0.01,0
19,4134053,389028,1178556,78,76,34.54,615,2,1820960,0.29,0
2,932722,118007,922469,89,69,13.66,964,5,1996988,0.99,1
12,1991396,56104,1029300,59,82,28.58,103,5,1742147,0.52,1
6,1400847,50934,1258520,67,74,12.04,269,0,414015,0.9,0
4,1234104,264606,188349,96,93,18.07,685,1,1693151,0.15,0
11,2650700,386564,541661,62,92,34.26,435,1,1661485,0.2,0
17,4075416,16050,45452,76,68,27.98,91,9,1174463,0.01,0
6,4218293,185024,1229737,59,96,14.47,640,3,490637,0.29,0
5,1416053,280628,1055230,81,70,23.58,131,8,594856,0.75,1
20,4301599,334792,948784,90,91,6.49,191,1,1010802,0.22,0
2,1894000,332089,1235789,94,82,12.99,718,7,1690666,0.65,1
6,1590598,194750,123319,52,52,26.55,816,0,173135,0.08,0
11,4746925,41323,892078,71,63,22.1,292,7,896082,0.19,1
16,2769849,96332,219015,76,64,19.09,549,2,250915,0.08,0
16,931658,366749,923864,52,82,25.73,699,4,1857992,0.99,1
1,3996315,265540,578256,82,91,16.95,338,0,1047736,0.14,0
9,3975702,264547,659103,51,71,5.78,101,0,533296,0.17,0
6,4290284,282459,1448951,60,50,18.23,94,5,1516366,0.34,1
16,2599771,320112,163223,95,80,32.06,448,2,405671,0.06,0
3,2655918,167591,131590,59,96,30.7,479,7,1190873,0.05,0
20,4005721,281251,278796,88,84,17.27,866,3,1045772,0.07,0
4,2566304,65781,245615,82,69,5.67,365,5,1923872,0.1,0
19,510435,276013,775492,56,81,24.09,268,9,915617,1.52,1
3,358477,353127,988515,64,61,27.24,662,8,217769,2.76,1
19,2595682,17971,1413209,75,100,13.83,406,7,1542138,0.54,1
20,3930370,368949,234537,60,65,19.3,953,3,1066772,0.06,0
7,2637839,264927,1221996,87,57,34.76,886,9,1191994,0.46,1
20,3888173,297795,730782,76,63,22.29,732,7,109612,0.19,0
9,1546652,329118,1125577,88,67,15.53,382,6,273886,0.73,1
1,4128685,33446,76757,56,79,23.82,315,4,185002,0.02,0
8,2180407,267419,133407,50,82,10.4,87,6,1129517,0.06,0
7,3477746,179180,244348,59,83,10.98,457,6,1281279,0.07,0
18,1001125,13823,655860,70,93,32.75,551,9,1609327,0.66,1
8,2586537,154526,1271859,64,98,12.18,802,1,419355,0.49,0
1,3198778,145004,368742,79,83,14.32,624,6,1295100,0.12,0
11,2893695,215162,212328,79,98,21.31,152,2,1106693,0.07,0
18,1968693,77965,398759,57,56,31.99,314,7,1928961,0.2,1
10,2191161,282654,1034938,73,55,28.44,315,7,178105,0.47,1
3,4062949,151609,707597,68,55,6.31,666,8,1058404,0.17,1
7,1510015,115935,1406891,52,71,25.79,987,3,1826418,0.93,1
16,4056600,341278,745076,64,57,20.12,883,9,616902,0.18,1
16,4713257,243705,530901,85,86,19.27,887,2,1909243,0.11,0
20,301894,344398,896465,55,64,25.75,52,8,855355,2.97,1
17,1608277,263978,1246511,91,75,10.89,393,8,921904,0.78,1
2,2733200,154854,958044,99,88,34.44,824,1,742411,0.35,0
1,1804592,386924,862634,97,52,24.36,51,5,1582962,0.48,0
16,4674024,397688,85666,67,59,15.97,574,2,1895738,0.02,0
12,3767945,337731,546356,87,52,23.01,978,4,1346961,0.15,0
5,3866569,354382,835489,68,79,11.49,823,1,180379,0.22,0
5,3429112,347864,805378,98,95,24.02,885,3,791275,0.23,0
9,1248966,88004,675907,99,71,5.85,324,2,719842,0.54,0
9,4800549,32072,609525,79,52,15.24,812,1,1156633,0.13,0
3,4416794,91015,1034628,62,50,27.43,127,5,118883,0.23,1
19,1032307,235075,267913,88,82,29.24,115,2,805198,0.26,0
16,2289632,230010,1127775,61,68,12.59,85,3,684302,0.49,0
16,2040875,82746,1152798,83,85,21.18,540,5,252522,0.56,0
3,4999412,186774,1033281,61,83,20.85,249,4,256577,0.21,0
20,2568417,374404,233931,93,80,17.64,752,3,1603249,0.09,0
1,4395843,138259,166234,73,92,11.85,377,3,1043394,0.04,0
20,3755971,40916,481604,53,73,26.1,421,1,545201,0.13,0
11,4206389,37268,33434,85,61,12.57,809,9,732557,0.01,1
17,512579,185050,808534,99,62,32.33,118,3,397157,1.58,1
8,4273542,253966,1070112,97,65,20.86,290,7,1575745,0.25,0
4,1763825,33259,723130,63,65,31.11,794,4,757824,0.41,1
6,3718920,89400,1153215,66,100,13.72,928,9,1222687,0.31,1
8,4228604,306437,443604,98,69,29.21,381,9,212839,0.1,0
20,3677794,121581,555435,52,90,8.41,183,7,146825,0.15,1
3,1724631,17043,1361246,87,97,28.0,547,5,784926,0.79,1
16,1391890,191502,1203307,72,76,16.61,188,9,718323,0.86,1
3,2545251,117009,104663,62,88,19.1,40,4,1674385,0.04,0
18,3092531,311037,1434953,58,62,10.0,559,3,1952371,0.46,1
14,3023978,219137,23088,70,53,5.56,861,9,1753802,0.01,1
18,4383583,171940,1117040,90,81,24.99,614,8,841457,0.25,0
2,1106395,298453,846430,57,94,22.63,804,9,562362,0.77,1
3,4028239,295428,1338904,66,89,23.67,852,4,1875172,0.33,1
16,4730734,398945,151171,65,83,12.65,416,9,1291110,0.03,1
9,3623994,123259,987314,65,88,12.18,55,5,1330753,0.27,0
4,2144606,110804,1086315,77,92,29.91,514,6,1465418,0.51,1
1,2507600,79000,1188037,100,66,27.84,333,0,863340,0.47,0
4,1170278,94179,17352,65,73,15.1,509,8,576019,0.01,0
1,695919,337193,126788,95,78,24.13,295,7,520319,0.18,0
14,3481837,301409,414364,95,95,29.84,252,4,219511,0.12,0
16,3148134,270226,592328,63,77,31.66,635,2,509723,0.19,0
20,2509608,33880,976124,95,94,5.17,455,4,721071,0.39,0
8,1547203,356723,1404999,93,96,29.4,25,4,1342749,0.91,1
7,666589,211264,1143006,87,71,15.51,554,8,1771693,1.71,1
3,2593365,337568,450330,69,77,26.55,701,6,741062,0.17,1
17,1387018,343110,958215,94,74,16.14,683,1,541542,0.69,0
1,1892737,182438,640245,97,90,23.19,263,4,1027851,0.34,0
16,2467357,255352,542036,90,52,24.4,260,8,319403,0.22,1
12,1999971,77396,115158,83,62,17.15,792,1,1941107,0.06,0
19,1344337,343838,1268165,78,80,20.38,947,7,961536,0.94,1
14,1624473,289250,1244930,52,62,26.79,577,2,628694,0.77,1
6,3450428,66731,715720,59,90,19.29,292,3,1045541,0.21,0
6,3782334,85010,1320966,69,67,5.42,94,1,726727,0.35,0
13,773881,259091,241851,51,86,5.39,302,8,1861114,0.31,1
19,1218454,304743,59395,76,92,24.84,727,5,1022380,0.05,0
8,4078551,81326,1472132,81,83,30.42,554,8,1239268,0.36,1
2,3501394,258876,1002378,59,66,28.56,106,7,261943,0.29,1
1,3027364,347850,1361020,89,70,14.31,900,8,839273,0.45,1
15,3554513,19004,1444878,66,85,19.13,652,4,1507162,0.41,0
1,2635678,125018,222143,82,99,12.02,949,5,1513549,0.08,0
5,1876644,35792,786401,55,89,34.67,168,6,1785495,0.42,1
16,3326813,64645,801292,88,68,12.82,169,4,1193471,0.24,0
19,1813560,17232,541301,96,61,17.49,596,0,878696,0.3,0
4,2493673,64766,400623,67,77,25.43,179,8,1454480,0.16,1
3,3675488,130601,1073511,58,60,31.28,465,1,1457026,0.29,0
17,3220745,91588,500229,57,97,6.54,815,6,175179,0.16,1
17,4844068,189614,573367,74,86,14.03,101,7,771947,0.12,1
12,3502923,15913,34111,80,77,22.07,26,7,176554,0.01,0
14,3395741,122406,842982,91,84,23.55,201,0,1021717,0.25,0
6,2698714,123693,206769,53,93,7.1,889,9,1551836,0.08,1
3,416486,103449,482333,69,64,24.92,985,6,1105347,1.16,1
9,626888,20567,218008,77,65,20.84,545,8,1279591,0.35,1
5,3756597,48379,40565,89,94,29.83,497,2,1717289,0.01,0
17,1035988,216040,1067859,50,56,11.67,202,7,357997,1.03,1
14,750428,272463,1279938,89,96,10.85,333,7,1122173,1.71,1
3,4657632,100005,611204,93,52,28.8,575,8,252448,0.13,1
1,2289706,383134,1128128,72,80,26.12,193,7,384734,0.49,1
20,1928782,233098,1038734,96,61,28.75,33,4,1454123,0.54,1
1,4505665,14791,38233,62,57,28.46,319,4,126628,0.01,0
3,3089190,141401,284839,65,74,8.12,956,2,713709,0.09,0
18,597172,215459,1007992,75,93,13.36,92,5,1516483,1.69,1
10,814673,71032,173806,80,99,12.8,754,9,1669275,0.21,0
3,455658,185150,343401,99,84,33.04,533,2,757552,0.75,0
8,1690641,360806,787937,50,61,19.62,741,1,252505,0.47,1
14,1930283,31300,966212,66,70,8.33,792,6,1179193,0.5,1
18,954085,347844,305758,65,75,13.69,621,9,1397164,0.32,1
15,951993,65609,1049586,86,51,31.16,362,2,1311330,1.1,1
2,925571,201634,244300,59,63,30.41,415,3,1119882,0.26,0
10,1028282,100045,150933,87,95,32.01,865,9,1138142,0.15,1
2,671761,334045,1465917,93,53,16.66,783,7,1420970,2.18,1
17,3635715,277847,779470,80,66,24.24,914,0,394980,0.21,0
8,4302748,233717,664729,59,96,13.35,352,8,474463,0.15,1
1,2774469,335259,682031,98,97,10.42,374,5,1477893,0.25,0
9,517942,229162,992904,83,54,5.66,578,1,1121471,1.92,1
11,4094456,37676,1113088,100,73,11.7,866,2,1648489,0.27,0
16,4045204,393476,1146602,55,98,23.13,182,4,468905,0.28,0
7,537462,230412,1124232,77,56,32.13,135,5,106251,2.09,1
10,4128207,186512,359830,77,72,9.0,422,8,725717,0.09,0
3,4744350,177995,1223786,62,96,32.54,98,1,1466966,0.26,0
18,621773,301946,1233068,90,66,15.36,466,4,1663985,1.98,1
13,2630630,362475,985593,61,61,17.8,902,6,1924957,0.37,1
7,4763167,134786,277633,99,60,15.95,27,6,788366,0.06,0
4,3030514,337313,59789,89,100,17.26,42,3,1235542,0.02,0
13,2995126,78147,1360423,99,60,12.78,800,2,1114102,0.45,0
20,4466399,32075,1125201,51,83,25.96,810,7,1582577,0.25,1
1,2927364,354159,521564,57,96,27.75,562,1,329666,0.18,0
8,3823638,215788,527339,91,86,29.69,433,4,1668066,0.14,0
14,2917892,19304,169162,58,99,15.24,701,9,1740208,0.06,1
16,287593,139851,830989,99,78,27.94,661,4,1552073,2.89,1
14,891252,392873,395771,57,97,24.13,926,0,936538,0.44,0
12,1102473,69622,995807,100,85,33.74,428,6,221720,0.9,1
19,326202,326359,1176414,52,76,17.74,688,3,1243416,3.61,1
15,2374758,346117,590282,58,91,34.77,41,9,331306,0.25,1
2,3469497,118654,376149,62,71,27.21,657,1,1253869,0.11,0
2,318542,259109,802498,58,51,28.29,422,7,800400,2.52,1
19,1617158,296172,660081,80,96,5.77,988,3,878523,0.41,0
17,2035932,49328,792736,74,85,19.92,700,0,633286,0.39,0
20,2872762,299445,1291517,93,97,20.85,697,7,1556309,0.45,1
10,1843906,310159,755584,94,79,6.22,176,6,1516803,0.41,0
6,3916434,228348,340907,57,56,14.36,349,2,1596074,0.09,0
15,655433,46845,373167,96,61,33.67,41,2,405010,0.57,0
11,290140,358962,642059,80,52,17.78,491,6,122969,2.21,1
5,1715554,86394,75842,94,66,10.6,283,1,1511700,0.04,0
1,1784645,185231,2589,94,90,20.4,322,4,771143,0.0,0
8,1647307,315858,387167,80,81,6.01,921,6,742547,0.24,1
12,3946962,90722,1478870,66,57,20.48,794,5,131107,0.37,0
12,3430786,297374,1280193,96,72,22.83,743,9,1849567,0.37,1
5,4876103,102554,54918,68,87,15.73,484,6,1021263,0.01,1
7,3651001,59262,7711,52,79,27.88,183,1,639077,0.0,0
4,3616403,51722,1266548,95,64,9.07,155,6,1111685,0.35,0
6,1998594,334940,321574,79,59,31.35,271,1,1879282,0.16,0
13,3821420,181231,718687,59,87,33.66,224,6,1423934,0.19,0
20,2589127,250740,1278890,98,64,5.04,875,7,432801,0.49,1
15,4143439,97052,750506,78,79,30.28,321,9,1964490,0.18,1
3,2095618,110808,889037,89,95,20.18,261,7,787832,0.42,1
8,4840239,265416,258989,67,75,18.84,851,4,1223112,0.05,0
20,3077448,272128,1380255,61,100,12.16,946,6,934619,0.45,1
16,1451661,231281,873002,98,94,18.42,810,7,1179663,0.6,0
13,3664524,256052,121315,72,63,33.51,80,3,611690,0.03,0
18,1314100,364095,953680,60,52,11.32,484,1,363085,0.73,0
10,1709390,323030,1422831,58,85,10.37,837,6,855002,0.83,1
19,2207878,375568,303874,73,75,12.26,321,0,1005772,0.14,0
17,4912037,114697,1171828,74,63,21.56,491,1,1280969,0.24,0
19,515617,241572,1185598,74,80,32.91,830,9,314646,2.3,1
5,2004053,242842,1253159,96,63,22.22,413,6,556683,0.63,0
9,1293015,106299,970513,58,89,12.3,626,9,145972,0.75,1
12,4670756,175746,1004354,61,59,18.21,679,0,1610396,0.22,0
1,291563,159177,942781,60,58,16.71,931,6,401505,3.23,1
1,3048768,170811,682121,98,95,6.4,993,4,665642,0.22,0
15,1545801,173041,195507,87,89,20.32,278,2,428471,0.13,0
2,3027754,24497,63944,77,92,8.78,561,1,1078481,0.02,0
16,1782701,264204,465718,57,91,30.27,549,6,147191,0.26,0
8,1890992,391059,1156013,59,67,21.47,206,8,942260,0.61,1
13,4562200,267471,1175370,74,85,30.34,985,8,1683000,0.26,1
1,1217497,102019,334267,96,85,33.68,231,9,508963,0.27,1
16,4059949,200326,285024,85,61,33.3,54,9,952711,0.07,1
7,4424367,119017,988131,99,99,8.01,166,7,1482780,0.22,0
5,3939469,341529,1483545,92,89,33.34,301,1,1359050,0.38,0
3,454371,228220,1014170,58,52,28.87,566,0,663630,2.23,1
12,3283128,115153,874261,90,67,28.33,607,7,1082550,0.27,0
16,2399318,43826,656921,57,56,7.7,603,1,443995,0.27,0
19,3294510,120034,53205,52,80,10.39,268,3,326519,0.02,0
5,1362180,94242,106948,67,50,34.25,76,3,1062836,0.08,0
14,620888,395210,1370530,95,80,11.4,888,1,395105,2.21,1
5,1563133,60100,375233,84,62,10.07,324,3,1779062,0.24,0
15,390285,231171,1379912,66,78,15.87,541,6,1742674,3.54,1
17,3396699,397314,611442,85,52,32.4,744,5,1964846,0.18,0
14,2717649,368349,218480,77,78,19.29,380,9,376476,0.08,1
20,2411130,22809,515985,99,84,32.62,256,5,1660377,0.21,0
5,1407739,74450,1457931,64,64,15.03,253,3,949433,1.04,1
12,2401016,310572,128514,68,70,11.8,944,1,1763193,0.05,0
16,3328411,344934,819409,71,68,19.86,242,4,1491674,0.25,0
16,4788599,121126,4983,55,77,23.46,635,2,148473,0.0,0
7,2916826,362465,695269,96,53,16.74,346,2,604364,0.24,0
4,1688543,274237,1025926,56,94,15.38,117,3,271969,0.61,0
1,2902303,54498,1244128,93,62,11.54,245,4,373826,0.43,0
5,2637587,126251,1359749,97,64,13.25,753,1,514943,0.52,0
10,3352963,50985,167806,58,100,25.19,855,5,287741,0.05,0
5,1311288,304153,729714,69,97,16.1,508,5,1192351,0.56,0
4,3498273,27718,1256102,86,88,7.39,497,7,1467661,0.36,0
2,1971503,288849,1287602,60,81,9.14,353,1,562655,0.65,0
20,4520153,359762,641800,51,52,16.17,811,7,898547,0.14,1
10,4649797,72598,66786,71,79,32.74,574,7,675225,0.01,1
19,804111,350022,266902,97,69,16.37,882,3,931564,0.33,0
1,1352791,284383,1413387,85,51,6.82,531,6,566714,1.04,1
5,4111087,318766,1410877,54,99,17.54,401,6,817398,0.34,0
13,2643869,56665,82673,56,74,25.06,442,0,374169,0.03,0
4,947948,304418,1408359,55,60,22.81,367,0,195439,1.49,1
16,2759244,380512,152904,71,50,13.36,172,7,1469246,0.06,1
16,1031635,156075,919372,59,97,25.64,870,0,1820843,0.89,1
2,1667217,171938,259111,95,98,23.92,471,2,693120,0.16,0
